"WineID";"Color";"Type";"Varietal";"Producer";"Description";"Country";"Region";"SubRegion";"subappellation";"Name";"created_at"
10;"White";"Dessert";"Sauternes Blend";"Chateau d'Yquem";"";"France";"Bordeaux";"Sauternes";"";"Chateau d'Yquem";"2021-08-04 14:52:46"
10000;"White";"Table";"Chardonnay";"Joseph Drouhin";"Pouilly Fuisse";"France";"Burgundy";"Maconnais";"";"Joseph Drouhin Pouilly Fuisse";"2021-08-04 14:52:46"
1001;"White";"Table";"Chardonnay";"Olivier Leflaive Freres";"Criots Batard Montrachet";"France";"Burgundy";"Cote de Beaune";"Criots Batard Montrachet";"Olivier Leflaive Freres Criots Batard Montrachet";"2021-08-04 14:52:46"
10010;"White";"Table";"Chardonnay";"Domaine Jean-Philippe Fichet";"Meursault les Gruyaches";"France";"Burgundy";"Cote de Beaune";"Les Gruyaches";"Domaine Jean-Philippe Fichet Meursault les Gruyaches";"2021-08-04 14:52:46"
10011;"White";"Table";"Chardonnay";"Domaine Jean-Philippe Fichet";"Meursault le Tesson";"France";"Burgundy";"Cote de Beaune";"Le Tesson";"Domaine Jean-Philippe Fichet Meursault le Tesson";"2021-08-04 14:52:46"
10014;"White";"Table";"Chardonnay";"Domaine Jean-Noel Gagnard";"Chassagne Montrachet les Chenevottes";"France";"Burgundy";"Cote de Beaune";"Les Chenevottes";"Domaine Jean-Noel Gagnard Chassagne Montrachet les Chenevottes";"2021-08-04 14:52:46"
10017;"White";"Table";"Chardonnay";"Vincent Girardin";"Corton Charlemagne Grand Cru";"France";"Burgundy";"Cote de Beaune";"Corton Charlemagne";"Vincent Girardin Corton Charlemagne Grand Cru";"2021-08-04 14:52:46"
10018;"White";"Table";"Chardonnay";"Vincent Girardin";"Meursault Charmes";"France";"Burgundy";"Cote de Beaune";"Les Charmes";"Vincent Girardin Meursault Charmes";"2021-08-04 14:52:46"
10019;"White";"Table";"Chardonnay";"Vincent Girardin";"Meursault Perrieres Premier Cru";"France";"Burgundy";"Cote de Beaune";"Les Perrieres";"Vincent Girardin Meursault Perrieres 1er Cru";"2021-08-04 14:52:46"
1002;"White";"Table";"Chardonnay";"Olivier Leflaive Freres";"Corton Charlemagne";"France";"Burgundy";"Cote de Beaune";"Corton Charlemagne";"Olivier Leflaive Freres Corton Charlemagne";"2021-08-04 14:52:46"
